user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
11032382,0,0,6,2393,0,0,0
7028441,0,0,3,2724,0,0,0
578743,6,0,51,3878,82,35,82
5095855,3,0,18,2963,1,2,1
26199894,0,0,6,1645,0,0,0
5635032,42,19,54,2889,28,29,28
13327903,13,21,23,2245,4,1,4
8058978,0,0,0,2621,0,0,0
34135467,0,0,0,1375,0,0,0
36913493,0,4,16,1285,1,0,1
4908923,4,2,36,2988,1,1,1
16568549,2,11,12,2069,0,0,0
37308083,0,0,1,1273,0,0,0
14902544,9,8,22,2167,3,8,3
24441110,0,0,2,1733,0,1,0
4147271,28,72,16,3067,47,20,47
1426555,1,0,16,3495,0,0,0
3389626,9,0,23,3144,0,3,0
2707245,40,7,116,3229,3,2,3
5073753,2,6,1,2966,0,0,0
3357362,7,5,10,3147,2,3,2
3839896,8,6,57,3099,3,5,3
38170461,0,0,11,1246,0,1,0
7388304,0,0,0,2692,0,0,0
975308,0,0,2,3677,2,0,2
39336445,0,0,0,1208,0,0,0
13776413,0,2,6,2215,0,0,0
22592994,0,0,0,1798,0,0,0
6332801,0,0,1,2799,0,0,0
593352,40,9,87,3870,72,23,72
26000465,0,0,7,1654,0,0,0
9977806,16,45,18,2474,11,7,11
790571,10,4,36,3765,5,1,5
40397702,0,0,1,1174,0,0,0
8993693,6,0,0,2530,0,0,0
15521647,5,2,6,2136,2,0,2
11974750,13,10,46,2334,8,10,8
37387035,0,0,0,1271,0,0,0
914682,1307,0,148,3706,178,115,178
627905,7,0,33,3850,19,3,19
20257108,0,12,29,1891,0,1,0
41310204,0,0,0,1147,0,0,0
3174130,14,6,141,3167,51,51,51
38192710,0,1,1,1246,0,0,0
13452493,7,9,17,2237,3,2,3
9515974,3,3,40,2499,14,3,14
14113428,0,0,1,2194,0,0,0
24755707,0,0,3,1716,0,0,0
7682333,0,0,32,2662,0,0,0
4843310,1,3,53,2992,12,9,12
26606293,1,0,15,1628,1,6,1
43448191,0,0,0,1081,0,0,0
16611341,1,0,6,2067,14,4,14
2572295,1,0,18,3246,1,0,1
10504242,1,0,4,2428,2,0,2
35813487,0,2,0,1319,0,0,0
33124256,0,2,11,1410,0,0,0
7997728,1,1,31,2628,2,0,2
639053,5,16,57,3844,3,1,3
12814201,0,7,44,2280,5,4,5
15653731,2,1,58,2132,11,2,11
6194479,0,0,2,2820,0,0,0
40791167,18,14,65,1160,2,1,2
1160074,4,0,23,3599,7,5,7
882397,762,192,138,3722,4537,992,4537
37386306,0,0,0,1271,0,0,0
1219881,2,1,18,3572,0,1,0
20658804,0,0,6,1867,0,0,0
45757892,0,0,3,1000,0,0,0
20115663,0,0,4,1900,0,0,0
20921396,0,0,20,1853,0,0,0
103880,5,3,29,4439,69,209,69
16218819,1,2,3,2097,0,0,0
38514114,7,0,4,1235,199,143,199
410767,3,0,26,4001,2,4,2
19280914,2,1,30,1944,5,1,5
24417553,0,1,3,1734,0,0,0
13472225,8,20,29,2236,13,8,13
446033,21,48,52,3974,22,34,22
1676983,2,4,11,3420,1,0,1
2919208,0,0,8,3202,0,0,0
5314516,0,0,12,2932,0,0,0
4357899,1,0,10,3044,0,1,0
20293296,0,0,11,1888,0,0,0
46926077,0,0,1,957,0,0,0
3646299,1,1,6,3119,0,0,0
47155660,0,0,1,950,0,0,0
3713580,949,62,1285,3112,1483,1758,1483
4684167,2,1,15,3006,0,0,0
785571,4,4,23,3768,2,1,2
45084774,0,0,10,1024,0,1,0
5263568,0,1,2,2939,0,0,0
47021421,0,0,2,954,0,0,0
149849,16,1,58,4321,6,9,6
22429695,0,0,0,1806,0,0,0
27017678,12,5,37,1612,2,4,2
3241796,0,4,24,3159,8,3,8
4758888,42,0,913,2998,5,3,5
6213311,31,46,67,2818,177,39,177
5440322,13,8,76,2915,12,9,12
1665874,0,0,3,3424,0,1,0
20953461,0,0,9,1852,0,1,0
668251,2,0,24,3828,3,0,3
28858062,3,3,17,1567,0,0,0
5182016,6,0,17,2951,0,5,0
3933668,2,0,18,3090,1,3,1
4304634,0,0,3,3050,0,0,0
23455859,1,0,22,1756,27,6,27
1417194,25,0,44,3498,81,59,81
16207788,7,0,25,2098,0,0,0
973199,31,2,152,3678,53,405,53
7326165,1,0,6,2698,0,0,0
14177727,12,21,7,2189,2,0,2
50582273,0,0,0,846,0,0,0
2504924,8,8,35,3255,21,17,21
33136690,0,0,10,1410,0,1,0
4923102,10,10,13,2987,0,0,0
12031435,2,3,19,2330,2,1,2
20301987,0,0,1,1888,0,0,0
8329028,0,0,19,2592,0,0,0
42330305,0,1,8,1119,0,0,0
106908,625,5,720,4430,2852,1206,2852
14040199,3,0,8,2198,6,2,6
36005286,4,0,4,1313,0,0,0
38905258,0,0,7,1222,0,0,0
1317194,6,14,15,3526,0,0,0
3926925,2,0,35,3090,0,3,0
51892217,0,0,2,812,1,1,1
8092130,0,0,2,2617,0,0,0
3944151,4,5,25,3089,1,3,1
