user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
7552053,0,1,0,526,0,0,0
89068,0,5,98,2733,3,4625,100
7373221,1,2,10,572,0,647,10
7356555,0,1,1,575,0,0,1
7641551,0,0,1,503,0,536,2
6519443,0,1,0,594,0,0,0
7526192,1,0,1,532,0,534,1
7363072,0,1,1,574,0,539,1
7691544,0,0,0,491,0,0,0
6579529,0,1,2,580,843,810,152
7341885,1,1,1,579,0,538,1
6558153,0,3,2,585,0,60,2
1850005,0,0,1,1298,0,1018,1
7707404,0,0,2,488,0,575,2
7729789,0,0,1,483,0,614,1
6574967,0,1,2,581,0,18,2
7342109,0,1,1,578,0,250,8
5719633,0,1,1,606,0,75,1
7633346,0,1,3,505,0,532,3
7596152,0,0,0,515,0,0,0
5199073,0,0,1,808,0,0,1
7520509,0,1,0,535,0,0,0
7619540,0,0,0,509,0,0,0
6583617,0,0,3,579,0,735,21
7533417,0,1,1,530,0,635,2
5309209,0,0,4,764,7324,1989,1409
7526190,0,1,0,532,0,0,0
7735776,0,0,1,482,0,620,1
7811393,0,0,1,462,0,649,1
5603992,0,0,0,656,0,0,0
7779226,0,0,1,470,0,633,2
7680312,0,0,0,494,0,0,0
7825691,0,0,0,459,0,0,0
7844343,0,0,6,454,2,883,9
7850992,0,0,2,452,0,691,2
6517909,0,2,5,594,0,3,5
7841341,1,3,7,455,126,831,55
7780956,0,0,1,470,0,746,2
7501656,0,1,2,540,0,509,3
7811857,0,1,2,462,0,854,2
6557868,0,0,0,585,0,0,0
7706653,0,1,3,488,0,1164,3
7844350,0,0,1,454,0,460,1
1766817,1,0,4,1352,3,733,7
5068894,0,0,1,861,0,703,1
7807637,0,1,5,463,0,1267,9
5362184,1,1,1,740,0,35,4
9413430,0,1,0,102,0,0,0
6572167,0,2,2,581,0,795,2
7810382,0,1,7,463,1,1129,8
6569250,1,2,3,582,867,99,249
7826182,0,0,2,459,0,0,2
1100179,0,0,2,1806,0,764,2
979510,0,0,0,1876,0,0,0
7813270,0,0,2,462,0,949,2
1841492,5,9,112,1302,24,19219,133
5270003,0,1,2,779,0,1,3
7389807,0,0,1,568,0,198,1
7787217,0,0,0,469,0,0,0
7927149,0,0,4,433,0,1000,4
5487192,0,0,0,697,0,0,0
7807710,0,0,1,463,0,648,1
7499148,0,0,0,541,0,0,0
7770803,0,0,2,473,843,82,152
5611284,0,0,0,653,0,0,0
6580318,0,3,17,580,1213,705,542
7950555,0,0,0,427,0,0,0
8001810,0,1,16,414,1,1,16
5203183,0,0,0,806,0,0,0
7866063,0,0,0,448,0,0,0
5565035,0,0,3,670,0,95,4
7922310,0,0,0,434,0,0,0
7479605,0,2,2,546,0,539,7
6575156,0,0,0,581,0,0,0
8186364,0,0,0,369,0,0,0
5706284,0,1,2,609,240,269,129
5475822,0,0,1,700,1,0,2
7933113,0,0,0,432,0,0,0
8217287,0,0,1,362,0,883,1
5719653,0,2,1,606,0,1022,1
8015718,0,0,0,411,0,0,0
7834039,1,2,4,456,0,1152,4
7996776,0,0,0,415,0,0,0
7342557,0,1,0,578,0,0,0
5328750,6,4,8,757,0,142,8
1196953,1,0,9,1736,0,1,31
7866623,4,12,17,448,391,1700,198
1869725,3,4,3,1287,0,138,3
5584703,0,0,10,663,579,2017,294
8310380,0,0,2,340,0,165,2
8268790,2,1,2,349,0,1212,2
7753551,0,0,2,477,0,811,2
7504385,0,4,3,540,0,960,3
8321864,0,0,0,337,0,0,0
2178266,2,5,7,1132,8,6,7
7510419,0,0,1,538,0,780,1
1102420,0,0,0,1804,0,0,0
8198540,0,0,2,366,0,1013,2
5163107,0,0,0,823,0,0,0
8353751,0,0,2,330,0,1029,2
520796,0,0,0,2217,0,0,0
8354918,0,0,2,330,0,1004,2
6572426,0,2,0,581,0,0,0
8400738,0,0,0,320,0,0,0
5285021,0,0,0,775,0,0,0
8386747,0,0,2,323,0,1213,9
7979690,0,0,2,420,0,1046,2
8447549,1,0,2,309,0,1286,2
8058894,0,0,4,402,1,1359,4
8405776,0,1,1,319,1,1042,1
5665214,0,1,8,622,0,1772,8
1040604,0,63,66,1834,242,7159,195
7997225,0,0,6,415,18,1069,19
8461735,0,0,2,306,0,2095,3
8497918,0,0,0,297,0,0,0
6568622,0,1,0,582,0,0,0
8179918,0,0,1,370,0,986,1
430441,0,1,0,2316,0,0,0
8533468,0,0,0,287,0,0,0
5574942,0,2,1,666,0,0,1
754894,0,0,17,2014,3,2,39
